,timestamp,packet_length,four_tuple
0,1741008985.542632030,56,9221782347817544211
1,1741008985.702598915,56,1986285571245180232
2,1741008985.702876796,62,8724374140009763045
3,1741008986.022656652,56,5655809056984420343
4,1741008986.214595649,56,3456601813857043101
5,1741008986.214654835,56,-2027246955618409491
6,1741008986.214665890,56,629385904319613165
7,1741008986.214674521,56,-3869756654193393154
8,1741008986.214929013,62,-4665881336756557061
9,1741008986.214929288,62,8124290552325269040
10,1741008986.214929308,62,-7517774247634330297
11,1741008986.598736127,56,9221782347817544211
12,1741008986.599123276,62,-7258626694333291997
13,1741008986.726663701,56,-8042622744159942004
14,1741008987.002618915,99,-2196570796980494328
15,1741008987.003135515,62,-5415406178571913342
16,1741008987.046499282,56,5655809056984420343
17,1741008987.046871290,62,-8747101590224435925
18,1741008987.061608301,96,-5415406178571913342
19,1741008987.061634702,56,-2196570796980494328
20,1741008987.238665621,56,3456601813857043101
21,1741008987.238887724,62,-182465351677396084
22,1741008987.750501529,56,-8042622744159942004
23,1741008987.750782854,62,6160455432677145928
24,1741008993.382649013,56,-3983892334852836671
25,1741008995.942508345,56,1986285571245180232
26,1741008995.942682604,62,8724374140009763045
27,1741008996.454531953,56,629385904319613165
28,1741008996.454577080,56,-2027246955618409491
29,1741008996.454587859,56,-3869756654193393154
30,1741008996.454789045,62,8124290552325269040
31,1741008996.454789175,62,-4665881336756557061
32,1741008996.454789192,62,-7517774247634330297
33,1741008996.883170890,175,-123035925147107103
34,1741008996.883574059,62,2340247537475360807
35,1741008996.954300164,973,2340247537475360807
36,1741008996.957480893,164,-123035925147107103
37,1741008996.957854129,62,2340247537475360807
38,1741008996.966479072,56,9221782347817544211
39,1741008996.967051240,62,-7258626694333291997
40,1741008997.028045677,2976,2340247537475360807
41,1741008997.028067288,56,-123035925147107103
42,1741008997.030751909,2976,2340247537475360807
43,1741008997.030764876,56,-123035925147107103
44,1741008997.033890605,2976,2340247537475360807
45,1741008997.033911112,56,-123035925147107103
46,1741008997.037961658,2976,2340247537475360807
47,1741008997.037978291,56,-123035925147107103
48,1741008997.042201579,2976,2340247537475360807
49,1741008997.042215209,56,-123035925147107103
50,1741008997.081211071,369,-123035925147107103
51,1741008997.081377086,201,-123035925147107103
52,1741008997.081542301,62,2340247537475360807
53,1741008997.081542342,62,2340247537475360807
54,1741008997.082609763,175,-123035925147107103
55,1741008997.082792437,62,2340247537475360807
56,1741008997.083893773,192,-123035925147107103
57,1741008997.084004795,62,2340247537475360807
58,1741008997.084209759,190,-123035925147107103
59,1741008997.084380074,62,2340247537475360807
60,1741008997.084430398,468,5478235340581571641
61,1741008997.084570276,62,-6265249925122769689
62,1741008997.085048366,187,5478235340581571641
63,1741008997.085216646,259,5478235340581571641
64,1741008997.085269429,62,-6265249925122769689
65,1741008997.085326324,62,-6265249925122769689
