,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted
0,1740822950.371438856,1294,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,1258,1250,1,CRYPTO,False,,,,,
1,1740822950.371536894,1294,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,1258,1250,2,CRYPTO,False,,,,,
2,1740822950.371579403,1294,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,1258,1250,3,CRYPTO,False,,,,,
3,1740822950.373189666,126,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,90,82,,,True,,,,,
4,1740822950.378749246,84,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,48,40,1,ACK,False,,,,,
5,1740822950.378749393,84,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,48,40,2,ACK,False,,,,,
6,1740822950.380132854,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,3,ACK,False,,,,,
7,1740822950.380132880,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,4,ACK,False,,,,,
8,1740822950.385370644,1294,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,1258,1250,6,PADDING Length: 2,False,,,,,
9,1740822950.389658101,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,5,ACK,False,,,,,
10,1740822950.402837981,1294,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,1258,1250,8,PADDING Length: 2,False,,,,,
11,1740822950.407066145,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,6,ACK,False,,,,,
12,1740822950.420252999,1294,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,1258,1250,10,PADDING Length: 2,False,,,,,
13,1740822950.423822550,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,7,ACK,False,,,,,
14,1740822950.431515168,1294,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1258,1250,8,CRYPTO,False,,,,,
15,1740822950.431515232,344,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,308,234,,,True,,,,,
