,timestamp,packet_length,four_tuple
0,1740992160.048882027,88,2882716379326694265
1,1740992160.750066970,1296,2755064984665881269
2,1740992160.750156210,1296,2755064984665881269
3,1740992160.757516855,1244,430990218439454922
4,1740992160.758471334,1244,430990218439454922
5,1740992160.760702111,1244,430990218439454922
6,1740992160.760778998,1296,2755064984665881269
7,1740992160.762186625,1244,430990218439454922
8,1740992160.762186712,1244,430990218439454922
9,1740992160.762186730,1244,430990218439454922
10,1740992160.762580523,98,2755064984665881269
11,1740992160.762635742,919,430990218439454922
12,1740992160.763137215,98,2755064984665881269
13,1740992160.765290628,193,2755064984665881269
14,1740992160.765352874,118,2755064984665881269
15,1740992160.768567116,580,430990218439454922
16,1740992160.768567164,71,430990218439454922
17,1740992160.768567180,71,430990218439454922
18,1740992160.768567198,96,430990218439454922
19,1740992160.768820231,89,2755064984665881269
20,1740992160.773265206,70,430990218439454922
21,1740992160.814529828,56,957157105411251584
22,1740992160.834369527,56,7190223315392433266
23,1740992160.837728273,364,2755064984665881269
24,1740992160.843319036,71,430990218439454922
25,1740992160.886498692,56,8638788170084408348
26,1740992161.154937731,990,430990218439454922
27,1740992161.154937852,1244,430990218439454922
28,1740992161.154937871,1244,430990218439454922
29,1740992161.154937889,1244,430990218439454922
30,1740992161.154937906,1244,430990218439454922
31,1740992161.155666188,87,2755064984665881269
32,1740992161.155863929,1244,430990218439454922
33,1740992161.155899763,950,430990218439454922
34,1740992161.156656406,87,2755064984665881269
35,1740992161.180831585,204,769586939822256114
36,1740992161.180959334,1496,769586939822256114
37,1740992161.181245237,62,-2887841948849280870
38,1740992161.181245281,62,-2887841948849280870
39,1740992161.224132817,1296,8893228293003146955
40,1740992161.224222353,1296,8893228293003146955
41,1740992161.226961621,1296,2755064984665881269
42,1740992161.227053931,297,2755064984665881269
43,1740992161.227432869,1296,1489457377714918593
44,1740992161.227505762,1296,1489457377714918593
45,1740992161.228145345,596,2755064984665881269
46,1740992161.230061976,1296,-258570975557945394
