,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tls_header_encrypted
0,1740741121.738459446,787,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,751,,,,,,,,,
1,1740741121.769539764,75,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,39,,,,,,,,,
2,1740741121.769736566,75,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,39,,,,,,,,,
3,1740741121.820171003,1046,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,1010,,,,,,,,,
4,1740741121.820171217,905,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,869,,,,,,,,,
5,1740741121.820483317,80,192.168.80.128,35.186.224.24,4,17,64,UDP,46651,443,44,,,,,,,,,
6,1740741121.852044643,71,35.186.224.24,192.168.80.128,4,17,128,UDP,443,46651,35,,,,,,,,,
7,1740741123.080324803,56,192.168.80.128,146.75.122.248,4,6,64,TCP,49502,443,,0,1,1,65535,,,,,
8,1740741123.080859162,62,146.75.122.248,192.168.80.128,4,6,128,TCP,443,49502,,0,1,2,64240,,,,,
9,1740741123.651718039,1296,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,1260,,,,,1252,0,CRYPTO,False,
10,1740741123.651775071,1296,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,1260,,,,,749,1,CRYPTO,False,
11,1740741123.657814052,87,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,51,,,,,43,1,ACK,False,
12,1740741123.657814204,1296,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,1260,,,,,1252,2,ACK,False,
13,1740741123.667943200,145,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,109,,,,,101,,,True,
14,1740741123.668054933,1296,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,1260,,,,,41,2,PING,False,
15,1740741123.671384551,1296,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,1260,,,,,1252,0,CRYPTO,False,
16,1740741123.671468271,1296,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,1260,,,,,871,1,CRYPTO,False,
17,1740741123.671684492,1296,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,1260,,,,,1252,0,CRYPTO,False,
18,1740741123.671761880,1296,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,1260,,,,,741,1,CRYPTO,False,
19,1740741123.671814465,191,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,155,,,,,147,,,True,
20,1740741123.675052377,1296,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,1260,,,,,1252,3,ACK,False,
