,timestamp,packet_length,four_tuple
0,1741008985.542632030,56,5601741532521369167
1,1741008985.702598915,56,4540329594805744842
2,1741008985.702876796,62,-2301198337525501901
3,1741008986.022656652,56,-6378822766496201179
4,1741008986.214595649,56,-7735764965260688430
5,1741008986.214654835,56,-1584003729897523509
6,1741008986.214665890,56,587654309498143801
7,1741008986.214674521,56,334125420186364602
8,1741008986.214929013,62,-6785141044984089800
9,1741008986.214929288,62,4187983387050566200
10,1741008986.214929308,62,-2879446958399144268
11,1741008986.598736127,56,5601741532521369167
12,1741008986.599123276,62,-3603724876649505156
13,1741008986.726663701,56,8678114939604905383
14,1741008987.002618915,99,1465659452431081350
15,1741008987.003135515,62,4992337950580323762
16,1741008987.046499282,56,-6378822766496201179
17,1741008987.046871290,62,-3829741349031532615
18,1741008987.061608301,96,4992337950580323762
19,1741008987.061634702,56,1465659452431081350
20,1741008987.238665621,56,-7735764965260688430
21,1741008987.238887724,62,5265261633077481429
22,1741008987.750501529,56,8678114939604905383
23,1741008987.750782854,62,8021769946931498344
24,1741008993.382649013,56,8956894984636169134
25,1741008995.942508345,56,4540329594805744842
26,1741008995.942682604,62,-2301198337525501901
27,1741008996.454531953,56,587654309498143801
28,1741008996.454577080,56,-1584003729897523509
29,1741008996.454587859,56,334125420186364602
30,1741008996.454789045,62,4187983387050566200
31,1741008996.454789175,62,-6785141044984089800
32,1741008996.454789192,62,-2879446958399144268
33,1741008996.883170890,175,5442943824723049314
34,1741008996.883574059,62,7581795202785141671
35,1741008996.954300164,973,7581795202785141671
36,1741008996.957480893,164,5442943824723049314
37,1741008996.957854129,62,7581795202785141671
38,1741008996.966479072,56,5601741532521369167
39,1741008996.967051240,62,-3603724876649505156
40,1741008997.028045677,2976,7581795202785141671
41,1741008997.028067288,56,5442943824723049314
42,1741008997.030751909,2976,7581795202785141671
43,1741008997.030764876,56,5442943824723049314
44,1741008997.033890605,2976,7581795202785141671
45,1741008997.033911112,56,5442943824723049314
46,1741008997.037961658,2976,7581795202785141671
47,1741008997.037978291,56,5442943824723049314
48,1741008997.042201579,2976,7581795202785141671
49,1741008997.042215209,56,5442943824723049314
50,1741008997.081211071,369,5442943824723049314
51,1741008997.081377086,201,5442943824723049314
52,1741008997.081542301,62,7581795202785141671
53,1741008997.081542342,62,7581795202785141671
54,1741008997.082609763,175,5442943824723049314
55,1741008997.082792437,62,7581795202785141671
56,1741008997.083893773,192,5442943824723049314
57,1741008997.084004795,62,7581795202785141671
58,1741008997.084209759,190,5442943824723049314
59,1741008997.084380074,62,7581795202785141671
60,1741008997.084430398,468,-3261669313870811924
61,1741008997.084570276,62,1533643378305751294
62,1741008997.085048366,187,-3261669313870811924
63,1741008997.085216646,259,-3261669313870811924
64,1741008997.085269429,62,1533643378305751294
65,1741008997.085326324,62,1533643378305751294
66,1741008997.089610834,12335,7581795202785141671
67,1741008997.090955978,56,5442943824723049314
68,1741008997.093054703,212,5442943824723049314
69,1741008997.093281336,62,7581795202785141671
70,1741008997.093498178,91,5442943824723049314
71,1741008997.093571046,91,5442943824723049314
72,1741008997.093620601,62,7581795202785141671
73,1741008997.093655534,62,7581795202785141671
74,1741008997.094143949,91,5442943824723049314
75,1741008997.094270488,229,-3261669313870811924
76,1741008997.094415362,62,7581795202785141671
77,1741008997.094415403,62,1533643378305751294
78,1741008997.099345114,218,-3261669313870811924
79,1741008997.099723810,62,1533643378305751294
80,1741008997.103369074,91,-3261669313870811924
81,1741008997.103592746,62,1533643378305751294
82,1741008997.113728749,207,-3261669313870811924
83,1741008997.113886198,62,1533643378305751294
84,1741008997.114584365,169,-3261669313870811924
85,1741008997.114790455,62,1533643378305751294
86,1741008997.115603804,182,-3261669313870811924
87,1741008997.115672268,190,-3261669313870811924
88,1741008997.115734918,62,1533643378305751294
89,1741008997.115770195,175,-3261669313870811924
90,1741008997.115841712,62,1533643378305751294
91,1741008997.115844811,174,-3261669313870811924
92,1741008997.115883277,62,1533643378305751294
93,1741008997.115904927,174,-3261669313870811924
94,1741008997.115966080,175,-3261669313870811924
95,1741008997.116005710,62,1533643378305751294
96,1741008997.116027309,176,-3261669313870811924
97,1741008997.116044816,62,1533643378305751294
