,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted
0,1740823188.475048205,273,34.120.208.123,192.168.80.128,4,6,128,TLSv1.2,443,43568,217,1,1,64240,True,,,,,
1,1740823188.475505069,95,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,39,1,218,65535,True,,,,,
2,1740823188.475908559,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,218,40,64240,,,,,,
3,1740823188.478395217,182,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,126,40,218,65535,True,,,,,
4,1740823188.478560035,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,218,166,64240,,,,,,
5,1740823188.478562379,1065,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,1009,166,218,65535,True,,,,,
6,1740823188.478835520,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,218,1175,64240,,,,,,
7,1740823188.716107790,280,34.120.208.123,192.168.80.128,4,6,128,TLSv1.2,443,43568,224,218,1175,64240,True,,,,,
8,1740823188.716446693,95,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,39,1175,442,65535,True,,,,,
9,1740823188.716772254,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,442,1214,64240,,,,,,
10,1740823188.717916767,186,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,130,1214,442,65535,True,,,,,
11,1740823188.717990429,216,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,160,1344,442,65535,True,,,,,
12,1740823188.718223891,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,442,1344,64240,,,,,,
13,1740823188.718353110,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,442,1504,64240,,,,,,
14,1740823188.967599821,463,34.120.208.123,192.168.80.128,4,6,128,TLSv1.2,443,43568,407,442,1504,64240,True,,,,,
15,1740823188.968156596,95,192.168.80.128,34.120.208.123,4,6,64,TLSv1.2,43568,443,39,1504,849,65535,True,,,,,
16,1740823188.968609231,62,34.120.208.123,192.168.80.128,4,6,128,TCP,443,43568,0,849,1543,64240,,,,,,
17,1740823189.930084556,56,192.168.80.128,212.199.202.66,4,6,64,TCP,60466,80,0,1,1,64240,,,,,,
18,1740823189.930495350,62,212.199.202.66,192.168.80.128,4,6,128,TCP,80,60466,0,1,2,64239,,,,,,
19,1740823189.936629019,62,212.199.202.66,192.168.80.128,4,6,128,TCP,80,60466,0,1,2,64239,,,,,,
20,1740823189.936646476,56,192.168.80.128,212.199.202.66,4,6,64,TCP,60466,80,0,2,2,64240,,,,,,
21,1740823193.234598580,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,0,0,64240,,,,,,
22,1740823193.296926432,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52076,0,0,1,64240,,,,,,
23,1740823193.296984887,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,1,1,64240,,,,,,
24,1740823193.297618280,1955,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52076,443,1899,1,1,64240,True,,,,,
