,timestamp,packet_length,four_tuple
0,1740992160.048882027,88,-2714880945027232151
1,1740992160.750066970,1296,-1683162668567661816
2,1740992160.750156210,1296,-1683162668567661816
3,1740992160.757516855,1244,7552998952816710535
4,1740992160.758471334,1244,7552998952816710535
5,1740992160.760702111,1244,7552998952816710535
6,1740992160.760778998,1296,-1683162668567661816
7,1740992160.762186625,1244,7552998952816710535
8,1740992160.762186712,1244,7552998952816710535
9,1740992160.762186730,1244,7552998952816710535
10,1740992160.762580523,98,-1683162668567661816
11,1740992160.762635742,919,7552998952816710535
12,1740992160.763137215,98,-1683162668567661816
13,1740992160.765290628,193,-1683162668567661816
14,1740992160.765352874,118,-1683162668567661816
15,1740992160.768567116,580,7552998952816710535
16,1740992160.768567164,71,7552998952816710535
17,1740992160.768567180,71,7552998952816710535
18,1740992160.768567198,96,7552998952816710535
19,1740992160.768820231,89,-1683162668567661816
20,1740992160.773265206,70,7552998952816710535
21,1740992160.814529828,56,-8373082691200630986
22,1740992160.834369527,56,-655157661076812973
23,1740992160.837728273,364,-1683162668567661816
24,1740992160.843319036,71,7552998952816710535
25,1740992160.886498692,56,-790678707081151905
26,1740992161.154937731,990,7552998952816710535
27,1740992161.154937852,1244,7552998952816710535
28,1740992161.154937871,1244,7552998952816710535
29,1740992161.154937889,1244,7552998952816710535
30,1740992161.154937906,1244,7552998952816710535
31,1740992161.155666188,87,-1683162668567661816
32,1740992161.155863929,1244,7552998952816710535
33,1740992161.155899763,950,7552998952816710535
34,1740992161.156656406,87,-1683162668567661816
35,1740992161.180831585,204,3385427547933013208
36,1740992161.180959334,1496,3385427547933013208
37,1740992161.181245237,62,7204982255021073636
38,1740992161.181245281,62,7204982255021073636
39,1740992161.224132817,1296,8276590387701197932
40,1740992161.224222353,1296,8276590387701197932
41,1740992161.226961621,1296,-1683162668567661816
42,1740992161.227053931,297,-1683162668567661816
43,1740992161.227432869,1296,-6870087950818226540
44,1740992161.227505762,1296,-6870087950818226540
45,1740992161.228145345,596,-1683162668567661816
46,1740992161.230061976,1296,5479222415343427959
47,1740992161.230151744,1296,5479222415343427959
48,1740992161.230315525,339,-1683162668567661816
49,1740992161.234598695,87,-4153151228111973834
50,1740992161.235918930,1296,-4153151228111973834
51,1740992161.235918957,1296,-4153151228111973834
52,1740992161.236007967,1296,8276590387701197932
53,1740992161.237252396,1296,-4153151228111973834
54,1740992161.237252438,87,1015439669991259732
55,1740992161.237750378,84,8276590387701197932
56,1740992161.238454577,1244,1310468365062758593
57,1740992161.239826972,1296,1015439669991259732
58,1740992161.239827076,1296,1015439669991259732
59,1740992161.240012150,1296,-6870087950818226540
60,1740992161.240921908,1296,1015439669991259732
